"Budget","Species","Design","N","n","BPUE","s2","Bycatch","Power"
4500000,"Short-tailed Alb.","FIXED_FMP.STATUS_QUO",4670,750,"8.27e-07","2.04e-12",1,0.16
4500000,"Short-tailed Alb.","FMP.CWB",4670,475,"6.70e-07","1.05e-12",1,0.1
4500000,"Short-tailed Alb.","FMP.EQUAL",4670,424,"6.70e-07","1.53e-12",1,0.09
4500000,"Short-tailed Alb.","FMP.PROX",4670,432,"6.70e-07","2.98e-13",1,0.09
4500000,"Short-tailed Alb.","FMP.STATUS_QUO",4670,749,"6.70e-07","2.66e-12",1,0.16
4500000,"Steller SL","CURRENT.CWB",2827,265,"7.63e-04","2.73e-06",3,0.2
4500000,"Steller SL","CURRENT.EQUAL",2827,255,"7.63e-04","3.23e-06",3,0.19
4500000,"Steller SL","CURRENT.PROX",2827,265,"7.63e-04","3.05e-06",3,0.2
4500000,"Steller SL","CURRENT.STATUS_QUO",2827,172,"7.63e-04","4.92e-06",3,0.13
4500000,"Steller SL","FIXED_FMP.CWB",2827,258,"9.27e-04","4.55e-06",3,0.22
4500000,"Steller SL","FIXED_FMP.EQUAL",2827,256,"9.27e-04","4.34e-06",3,0.22
4500000,"Steller SL","FIXED_FMP.PROX",2827,258,"9.27e-04","5.63e-06",3,0.22
4500000,"Steller SL","FIXED_FMP.STATUS_QUO",2827,171,"9.27e-04","6.70e-06",3,0.15
4500000,"Steller SL","FMP.CWB",2827,262,"7.86e-04","3.21e-06",3,0.2
4500000,"Steller SL","FMP.EQUAL",2827,256,"7.86e-04","3.34e-06",3,0.2
4500000,"Steller SL","FMP.PROX",2827,245,"7.86e-04","4.82e-06",3,0.19
4500000,"Steller SL","FMP.STATUS_QUO",2827,170,"7.86e-04","5.14e-06",3,0.13
5250000,"Laysan Alb.","CURRENT.CWB",4670,651,"8.96e-03","3.17e-05",42,0.99
5250000,"Laysan Alb.","CURRENT.EQUAL",4670,549,"8.96e-03","3.84e-05",42,0.99
5250000,"Laysan Alb.","CURRENT.PROX",4670,624,"8.96e-03","3.74e-05",42,0.99
5250000,"Laysan Alb.","CURRENT.STATUS_QUO",4670,827,"8.96e-03","4.47e-05",42,0.99
5250000,"Laysan Alb.","FIXED_FMP.CWB",4670,614,"9.57e-03","2.61e-05",45,0.99
5250000,"Laysan Alb.","FIXED_FMP.EQUAL",4670,547,"9.57e-03","3.34e-05",45,0.99
5250000,"Laysan Alb.","FIXED_FMP.PROX",4670,589,"9.57e-03","2.74e-05",45,0.99
5250000,"Laysan Alb.","FIXED_FMP.STATUS_QUO",4670,827,"9.57e-03","3.67e-05",45,0.99
