"Budget","Metric","Design","Method_Gear-FMP","N","n","Effect","EPM","Power"
3500000,"DURATION","CURRENT.STATUS_QUO","EM_TRW",768,256,-0.12,-7,0.1
3500000,"RETAINED_CATCH","CURRENT.STATUS_QUO","EM_TRW",768,256,-4.39,-3.9,0.09
3500000,"SPECIES","CURRENT.STATUS_QUO","EM_TRW",768,256,-0.16,-3.2,0.11
3500000,"DURATION","CURRENT.STATUS_QUO","OB_HAL",1352,38,0.78,20.7,0.36
3500000,"RETAINED_CATCH","CURRENT.STATUS_QUO","OB_HAL",1352,38,1.03,15.9,0.15
3500000,"SPECIES","CURRENT.STATUS_QUO","OB_HAL",1352,38,-0.23,-8.1,0.13
3500000,"DURATION","CURRENT.STATUS_QUO","OB_POT",1086,31,0.71,16.1,0.17
3500000,"RETAINED_CATCH","CURRENT.STATUS_QUO","OB_POT",1086,31,4.61,20.3,0.13
3500000,"SPECIES","CURRENT.STATUS_QUO","OB_POT",1086,31,-0.16,-7.5,0.1
3500000,"DURATION","CURRENT.STATUS_QUO","OB_TRW",389,11,0.24,12.4,0.09
3500000,"RETAINED_CATCH","CURRENT.STATUS_QUO","OB_TRW",389,11,0.92,0.9,0.05
3500000,"SPECIES","CURRENT.STATUS_QUO","OB_TRW",389,11,-0.51,-10.7,0.09
3500000,"DURATION","FIXED_FMP.CWB","EM_FIXED-BSAI",89,8,1.1,24.8,0.22
3500000,"RETAINED_CATCH","FIXED_FMP.CWB","EM_FIXED-BSAI",89,8,-2.77,-9,0.06
3500000,"SPECIES","FIXED_FMP.CWB","EM_FIXED-BSAI",89,8,0.1,5.5,0.06
3500000,"DURATION","FIXED_FMP.CWB","EM_FIXED-GOA",986,63,0.08,2,0.06
3500000,"RETAINED_CATCH","FIXED_FMP.CWB","EM_FIXED-GOA",986,63,-0.85,-8.8,0.13
3500000,"SPECIES","FIXED_FMP.CWB","EM_FIXED-GOA",986,63,-0.21,-7.1,0.16
3500000,"DURATION","FIXED_FMP.CWB","EM_TRW-GOA",768,28,-0.12,-7,0.06
3500000,"RETAINED_CATCH","FIXED_FMP.CWB","EM_TRW-GOA",768,28,-4.39,-3.9,0.06
3500000,"SPECIES","FIXED_FMP.CWB","EM_TRW-GOA",768,28,-0.16,-3.2,0.06
